dt,mkt_am,mkt_pm,am_bucket
2025-12-29,-0.0005055958417710857,-6.0984865482053346e-05,-0.5〜0%
2025-12-30,0.002346882114062066,-0.003874232160044937,0〜+0.5%
2026-01-05,0.0062587827765299255,-0.00118394584671835,+0.5〜+1%
2026-01-06,0.0017310592750969002,0.005191196019864086,0〜+0.5%
2026-01-07,0.0060560739281139125,-0.0038818553812196184,+0.5〜+1%
2026-01-08,0.004421084579373186,-0.007587787172198748,0〜+0.5%
2026-01-09,0.003525507626138203,0.004332801097661112,0〜+0.5%
2026-01-13,-0.004001410288011326,-0.0015747466835846439,-0.5〜0%
2026-01-14,0.006893875024015169,0.003991532223692506,+0.5〜+1%
2026-01-15,0.008325057202236317,0.002672650332356223,+0.5〜+1%
2026-01-16,-0.002449306483594927,0.0023983311896942686,-0.5〜0%
2026-01-19,0.003558586019138224,0.00455662190899319,0〜+0.5%
2026-01-20,-0.00918221705049791,0.003342323946392173,-1〜-0.5%
2026-01-21,0.004287647293987719,-0.00044730720145952786,0〜+0.5%
2026-01-22,-0.006332635354184023,-0.001997841106635863,-1〜-0.5%
2026-01-23,0.0012459764712339008,-0.002027754224055635,0〜+0.5%
2026-01-26,-0.003790841763796079,0.001704797351093455,-0.5〜0%
2026-01-27,0.0028155352813649085,0.0028005034107125865,0〜+0.5%
2026-01-28,-0.0027563730162067745,0.004106371348767899,-0.5〜0%
2026-01-29,-0.005401794974364448,0.006774737960510492,-1〜-0.5%
2026-01-30,-0.008176650047780575,0.01091891205162122,-1〜-0.5%
2026-02-02,-0.004002151407125408,-0.012702169300742193,-0.5〜0%
2026-02-03,0.0030097462501547188,0.0059353641515152485,0〜+0.5%
2026-02-04,0.007814685554049662,0.00244289363891626,+0.5〜+1%
2026-02-05,-0.006514769644277152,0.00016807392289872985,-1〜-0.5%
2026-02-06,0.015767578054660343,0.004490598713945689,+1〜+2%
2026-02-09,-0.010935729605190606,-0.002992377001020356,-2〜-1%
2026-02-10,0.012880026515649585,-0.001663613283378446,+1〜+2%
2026-02-12,0.0014867863301387277,0.001319505244501577,0〜+0.5%
2026-02-13,0.000580583028562901,-0.004625675810232122,0〜+0.5%
2026-02-16,-0.009008611946300812,-0.0013389451235518999,-1〜-0.5%
2026-02-17,-0.007988940106480944,0.003927381081510403,-1〜-0.5%
2026-02-18,0.007943469541103334,0.0006057794688727614,+0.5〜+1%
2026-02-19,0.00485802352596641,0.0019129926994105341,0〜+0.5%
2026-02-20,-0.001978331429532042,0.003117826456456767,-0.5〜0%
2026-02-24,0.0011507846381411883,-0.0005206459115621576,0〜+0.5%
2026-02-25,0.0016017135100709651,0.005645173016485545,0〜+0.5%
2026-02-26,-0.0044556796582396856,0.0007721168594851184,-0.5〜0%
2026-02-27,0.009513720316264521,0.006934135662331965,+0.5〜+1%
2026-03-02,0.0042617408374075955,0.00405559360434272,0〜+0.5%
2026-03-03,-0.018592673291004235,-0.012857371513978097,-2〜-1%
2026-03-04,-0.014850635925439039,0.005015104217907665,-2〜-1%
2026-03-05,-0.006185566085725487,-0.008009184539964517,-1〜-0.5%
2026-03-06,0.01383642240168988,0.003667578888714714,+1〜+2%
2026-03-09,0.0016807638458812533,0.006370505083394993,0〜+0.5%
2026-03-10,0.005266234235022437,-0.0021923201775164228,+0.5〜+1%
2026-03-11,0.0037701217767827275,-0.007477985969714689,0〜+0.5%
2026-03-12,-0.004652527134317485,0.0033812675879033647,-0.5〜0%
2026-03-13,0.01841564534388639,-0.002350910133707051,+1〜+2%
2026-03-16,-0.010679900908108459,0.008504197043495552,-2〜-1%
2026-03-17,-0.0019577028673091394,-0.005748368636747797,-0.5〜0%
2026-03-18,0.010871483003594078,0.0038378294784853096,+1〜+2%
2026-03-19,0.0005448487730504104,-0.008847352599265737,0〜+0.5%
2026-03-23,-0.0008987255895992616,-0.004813551792049459,-0.5〜0%
2026-03-24,-0.005772508835945419,0.0037071667436219397,-1〜-0.5%
2026-03-25,0.00024333010494013586,0.00339533244604784,0〜+0.5%
2026-03-26,-0.006244260419014311,-0.0013810898351221126,-1〜-0.5%
2026-03-27,0.001979810238312952,0.005492037344238035,0〜+0.5%
2026-03-30,-0.0007325220541208665,0.005711953737042991,-0.5〜0%
2026-03-31,0.009148324436997908,-0.012275038581973458,+0.5〜+1%
2026-04-01,-0.0017961440814514209,0.009710796124725652,-0.5〜0%
2026-04-02,-0.026772518602780498,-0.003440315843699493,-3〜-2%
2026-04-03,-0.004385639707439959,0.001966848610425629,-0.5〜0%
2026-04-06,0.008326020199675545,-0.010123229605725568,+0.5〜+1%
2026-04-07,-0.00713410902649334,0.0032264506508309088,-1〜-0.5%
2026-04-08,-0.002803228779928104,-0.0008031562442458,-0.5〜0%
2026-04-09,-0.005608484075059164,-0.0010868006584496862,-1〜-0.5%
2026-04-10,-0.0019878883557324584,0.0020632136911787947,-0.5〜0%
2026-04-13,0.00046715533903848096,0.001836563439081086,0〜+0.5%
2026-04-14,-0.0021336047774739545,-0.0014771112562927081,-0.5〜0%
2026-04-15,-0.010985083108938594,-0.0006369570677513852,-2〜-1%
2026-04-16,0.01098669229981076,0.0012581291079648072,+1〜+2%
2026-04-17,-0.009958835164295063,-0.003603241915415551,-1〜-0.5%
2026-04-20,0.001765521747375028,-0.003609399766789339,0〜+0.5%
2026-04-21,0.0025859457421313382,-0.004611268443730677,0〜+0.5%
2026-04-22,1.3265710981383804e-05,0.0016766379876700375,0〜+0.5%
2026-04-23,-0.012412892164486575,0.0031812504418998254,-2〜-1%
2026-04-24,-0.007126165980733085,4.2709680637690205e-05,-1〜-0.5%
2026-04-27,0.005186124961524264,-0.0022736516429310563,+0.5〜+1%
2026-04-28,0.003990216154368791,0.0022131379630900227,0〜+0.5%
2026-04-30,-0.007508325653617273,0.00487851077216108,-1〜-0.5%
2026-05-01,0.00016515360631337589,-0.0017440905878667297,0〜+0.5%
2026-05-07,0.009636362845405347,-0.0025227578631876486,+0.5〜+1%
2026-05-08,-0.005032485270626422,0.009402671349571632,-1〜-0.5%
2026-05-11,-0.001082050028697943,0.0013992455236556643,-0.5〜0%
