date,open_px,open_vol,gap_bps,fwd_bps,med20,vol_ratio,sym,gap_dir,vol_dir,quad
2025-07-11,3540.0,660500.0,117.17633609602763,50.847457627118956,274600.0,2.405316824471959,5713.T,UG,HV,UG_HV
2025-07-14,3530.0,254800.0,-78.6958965711071,-138.8101983002832,284450.0,0.8957637546141677,5713.T,DG,LV,DG_LV
2025-07-15,3478.0,389800.0,-8.618213157138843,-86.25646923519304,274600.0,1.4195193008011653,5713.T,DG,HV,DG_HV
2025-07-16,3435.0,211500.0,-37.70301624129946,2.911208151383793,274600.0,0.7702112163146395,5713.T,DG,LV,DG_LV
2025-07-17,3403.0,439100.0,-96.04190919674016,-8.815750808111034,262450.0,1.673080586778434,5713.T,DG,HV,DG_HV
2025-07-18,3411.0,242700.0,32.352941176470026,46.90706537672229,274600.0,0.8838310269482884,5713.T,UG,LV,UG_LV
2025-07-22,3481.0,646900.0,157.57222060110988,180.9824762999135,262450.0,2.4648504477043245,5713.T,UG,HV,UG_HV
2025-07-23,3563.0,612400.0,53.61173814898423,19.646365422396617,279950.0,2.187533488122879,5713.T,UG,HV,UG_HV
2025-07-24,3599.0,316900.0,81.23249299719859,75.02083912197755,279950.0,1.1319878549741025,5713.T,UG,LV,UG_LV
2025-07-25,3578.0,347600.0,-132.37727523441768,-176.07602012297386,303350.0,1.1458711059831876,5713.T,DG,LV,DG_LV
2025-07-28,3508.0,234200.0,-19.914651493598832,-39.90877993158448,318400.0,0.7355527638190955,5713.T,DG,LV,DG_LV
2025-07-29,3450.0,393700.0,-125.93016599885543,-14.492753623188692,318400.0,1.2364949748743719,5713.T,DG,LV,DG_LV
2025-07-30,3430.0,161200.0,-43.541364296081355,104.95626822157433,320950.0,0.5022589188347094,5713.T,DG,LV,DG_LV
2025-08-01,3422.0,765700.0,199.7019374068554,-108.12390414961959,318400.0,2.4048366834170856,5713.T,UG,HV,UG_HV
2025-08-04,3370.0,512200.0,-44.31314623338234,228.48664688427388,320950.0,1.5958872098457704,5713.T,DG,HV,DG_HV
2025-08-05,3447.0,302000.0,0.0,191.47084421235806,334800.0,0.9020310633213859,5713.T,DG,LV,DG_LV
2025-08-06,3510.0,237900.0,-8.53970964987183,113.9601139601143,320950.0,0.7412369527963857,5713.T,DG,LV,DG_LV
2025-08-07,3560.0,240500.0,28.169014084507005,289.3258426966283,318400.0,0.7553391959798995,5713.T,UG,LV,UG_LV
2025-08-08,3670.0,580200.0,19.110019110020193,-65.39509536784726,318400.0,1.8222361809045227,5713.T,UG,HV,UG_HV
2025-08-12,3625.0,399500.0,-57.597366977509836,96.55172413793211,333750.0,1.197003745318352,5713.T,DG,LV,DG_LV
2025-08-13,3700.0,366900.0,109.28961748633893,-205.40540540540553,368700.0,0.9951179820992677,5713.T,UG,LV,UG_LV
2025-08-14,3613.0,519600.0,-30.353200883002085,-47.052311098809696,357250.0,1.45444366689993,5713.T,DG,HV,DG_HV
2025-08-15,3565.0,241000.0,-86.20689655172376,350.63113604488103,378350.0,0.6369763446544205,5713.T,DG,LV,DG_LV
2025-08-18,3760.0,1075400.0,189.7018970189701,74.4680851063828,357250.0,3.0102169349195242,5713.T,UG,HV,UG_HV
2025-08-19,3767.0,302000.0,-55.43822597676829,-26.546323334217803,380300.0,0.7941099132264002,5713.T,DG,LV,DG_LV
2025-08-20,3728.0,214400.0,-77.18924673941973,-5.364806866953176,357250.0,0.6001399580125962,5713.T,DG,LV,DG_LV
2025-08-21,3750.0,228000.0,64.41223832528209,10.666666666667712,357250.0,0.6382085374387684,5713.T,UG,LV,UG_LV
2025-08-22,3779.0,367700.0,66.59563132658475,-31.75443238952136,332250.0,1.1066967644845749,5713.T,UG,LV,UG_LV
2025-08-26,3948.0,461100.0,5.068423720222537,20.263424518742745,332250.0,1.3878103837471782,5713.T,UG,HV,UG_HV
2025-08-27,3964.0,417100.0,20.22244691607611,118.56710393541859,357250.0,1.1675297410776766,5713.T,UG,LV,UG_LV
2025-08-28,3972.0,316000.0,-97.2326103216159,181.2688821752273,367300.0,0.860332153552954,5713.T,DG,LV,DG_LV
2025-08-29,4080.0,418700.0,89.02077151335286,-110.29411764705843,367300.0,1.139940103457664,5713.T,UG,LV,UG_LV
2025-09-01,4035.0,651100.0,0.0,-39.65303593556402,367300.0,1.7726653961339505,5713.T,DG,HV,DG_HV
2025-09-02,4040.0,451800.0,52.25180393132689,264.851485148514,383600.0,1.1777893639207508,5713.T,UG,LV,UG_LV
2025-09-03,4215.0,881600.0,163.9739570774057,-80.66429418742582,383600.0,2.29822732012513,5713.T,UG,HV,UG_HV
2025-09-04,4180.0,500000.0,-2.3917723032762517,64.5933014354072,383600.0,1.3034410844629822,5713.T,DG,HV,DG_HV
2025-09-05,4207.0,403700.0,0.0,-30.9008794865695,408300.0,0.9887337741856478,5713.T,DG,LV,DG_LV
2025-09-08,4262.0,626200.0,162.1363853123503,4.69263256686947,410400.0,1.5258284600389864,5713.T,UG,HV,UG_HV
2025-09-09,4297.0,516800.0,77.39212007504604,-169.88596695368895,417900.0,1.2366594879157693,5713.T,UG,LV,UG_LV
2025-09-10,4170.0,331500.0,-127.84090909090939,93.52517985611541,417900.0,0.7932519741564967,5713.T,DG,LV,DG_LV
2025-09-11,4203.0,495600.0,-14.255167498218313,202.23649773970953,417900.0,1.185929648241206,5713.T,DG,LV,DG_LV
2025-09-12,4353.0,589100.0,151.58582089552343,-50.53985756949264,435250.0,1.3534750143595635,5713.T,UG,HV,UG_HV
2025-09-16,4360.0,346300.0,66.95913184022073,126.14678899082632,435250.0,0.7956346927053417,5713.T,UG,LV,UG_LV
2025-09-17,4448.0,622900.0,74.74518686296783,-272.0323741007191,435250.0,1.4311315336013786,5713.T,UG,HV,UG_HV
2025-09-18,4335.0,321100.0,18.488560203373527,-34.602076124568,435250.0,0.737736932797243,5713.T,UG,LV,UG_LV
2025-09-19,4321.0,640000.0,2.3148148148144365,-395.74172645221006,435250.0,1.4704192992533027,5713.T,UG,HV,UG_HV
2025-09-22,4207.0,570300.0,137.34939759036058,121.2265272165447,456450.0,1.2494249096286558,5713.T,UG,LV,UG_LV
2025-09-24,4318.0,286000.0,140.9112259276646,25.47475683186695,478350.0,0.5978885753109647,5713.T,UG,LV,UG_LV
2025-09-26,4770.0,756300.0,-99.62640099626441,-203.35429769392067,478350.0,1.5810598933835058,5713.T,DG,HV,DG_HV
2025-09-29,4660.0,676100.0,-27.819387973464504,150.2145922746778,497800.0,1.3581759742868622,5713.T,DG,HV,DG_HV
2025-09-30,4800.0,669600.0,147.99154334038002,-68.74999999999964,508400.0,1.3170731707317074,5713.T,UG,HV,UG_HV
2025-10-01,4762.0,730800.0,-10.488777008600403,-151.19697606047922,543550.0,1.3444945267224726,5713.T,DG,HV,DG_HV
2025-10-07,5004.0,572500.0,82.61132379609126,-253.79696243005623,579700.0,0.9875797826461963,5713.T,UG,LV,UG_LV
2025-10-08,4927.0,451100.0,102.52204223908157,418.10432311751634,571400.0,0.7894644732236612,5713.T,UG,LV,UG_LV
2025-10-09,5221.0,1341500.0,171.43970387687446,40.22217965906849,571400.0,2.347742387119356,5713.T,UG,HV,UG_HV
2025-10-10,5192.0,989700.0,-95.38344143456668,-335.1309707241912,571400.0,1.732061603080154,5713.T,DG,HV,DG_HV
2025-10-14,5100.0,1649800.0,163.4117178158623,0.0,580800.0,2.840564738292011,5713.T,UG,HV,UG_HV
2025-10-16,5362.0,729700.0,157.22674749005571,-76.46400596792225,606000.0,1.2041254125412542,5713.T,UG,LV,UG_LV
2025-10-17,5301.0,800900.0,-37.586919751926295,277.30616864742433,606000.0,1.3216171617161716,5713.T,DG,HV,DG_HV
2025-10-21,5379.0,931100.0,57.965594614808325,-146.86744748094392,631450.0,1.4745427191384908,5713.T,UG,HV,UG_HV
2025-10-23,4946.0,963100.0,38.56302009336288,283.0570157703205,654800.0,1.4708307880268785,5713.T,UG,HV,UG_HV
2025-10-24,5149.0,448900.0,123.86944553676838,-106.81685764226012,672850.0,0.6671620717842015,5713.T,UG,LV,UG_LV
2025-10-27,5168.0,525500.0,145.2689438555166,56.114551083590314,672850.0,0.7810061677937133,5713.T,UG,LV,UG_LV
2025-10-29,4977.0,528600.0,142.65335235378097,-114.52682338758291,672850.0,0.7856134353867875,5713.T,UG,LV,UG_LV
2025-10-31,5108.0,285100.0,47.206923682139305,-60.68911511354691,672850.0,0.4237199970275693,5713.T,UG,LV,UG_LV
2025-11-04,5073.0,364300.0,-7.878668505022501,-234.5752020500691,672850.0,0.541428252953853,5713.T,DG,LV,DG_LV
2025-11-06,4869.0,251100.0,93.28358208955167,129.39001848428776,672850.0,0.37318867503901315,5713.T,UG,LV,UG_LV
2025-11-07,4880.0,244900.0,-105.43390105433926,61.47540983606481,672850.0,0.3639741398528647,5713.T,DG,LV,DG_LV
2025-11-11,5055.0,793600.0,55.69922418937834,-132.54203758654825,672850.0,1.1794605038270045,5713.T,UG,LV,UG_LV
2025-11-12,4979.0,411500.0,-18.043303929430323,283.18939546093657,672850.0,0.6115776175967897,5713.T,DG,LV,DG_LV
2025-11-13,5201.0,509800.0,158.20312500000045,7.690828686790496,621050.0,0.8208678850334111,5713.T,UG,LV,UG_LV
2025-11-17,5115.0,357300.0,-157.7833365403114,-46.92082111436902,550550.0,0.6489873762601035,5713.T,DG,LV,DG_LV
2025-11-18,5022.0,365300.0,-135.53329404832004,-457.98486658701677,527050.0,0.6931031211460014,5713.T,DG,LV,DG_LV
2025-12-02,5110.0,368800.0,-33.15779208113878,-46.96673189823919,517650.0,0.7124504974403555,5713.T,DG,LV,DG_LV
2025-12-03,5078.0,256100.0,-15.729453401494009,80.74044899566869,517650.0,0.4947358253646286,5713.T,DG,LV,DG_LV
2025-12-05,5225.0,394000.0,-187.79342723004743,524.4019138755984,479350.0,0.8219463857306769,5713.T,DG,LV,DG_LV
2025-12-08,5501.0,413800.0,3.6370249136208344,-58.17124159243736,430200.0,0.9618781961878197,5713.T,UG,LV,UG_LV
2025-12-09,5488.0,235200.0,34.741268970561734,-249.63556851311907,412650.0,0.5699745547073791,5713.T,UG,LV,UG_LV
