date,09:00寄成(元検証),09:05,09:10,09:20,09:30
2025-03-04,-0.011057418232938382,-0.0064751198409447215,-7.3104356845009e-05,-0.0021175151694327672,-0.001999335055101035
2025-03-06,0.008397429096899943,0.04628996331745583,-0.006667408488570047,-0.013392553789804343,0.002745780205879312
2025-03-07,0.017879445110351555,0.000649434203700417,0.0012883958269803417,0.011549334031600219,0.005497848788923195
2025-03-10,0.023368662018003607,,0.04184258935101626,0.04871925830759441,0.037775113912385395
2025-03-11,0.02327590446527132,0.018318838157344444,0.006458784834201833,0.008384794763170427,0.012386734244266374
2025-03-12,0.01632265132569582,,-0.014239822878971258,-0.010362846254916758,-0.012194638572120364
2025-03-13,-0.007361943639836014,0.0008457338477749907,-0.006391927509369094,-0.01948342261089821,-0.014046659577938955
2025-03-17,0.007901384823521674,-0.02611035225255529,-0.017664640023755167,-0.005533304775120462,-0.012219638259392873
2025-03-18,0.041945171387201476,0.010951249259963389,0.023160495672830753,0.03354061864059019,0.03181868140682911
2025-03-21,0.03621277571758685,0.028545907025796232,1.60961597332653e-05,0.0017432626743625929,0.02745483641869579
2025-03-24,0.010258327418976854,-0.011757491535475844,0.00961826415812791,-0.0007677782056250464,0.005663895885843435
2025-03-25,-0.011812370078269198,0.03360789688235455,0.0028265033740545492,0.007193979230669929,-0.001337068723148822
2025-03-27,0.04349323387604765,-0.0012921871041232107,0.011990297664111678,0.01172027752273505,0.014829594731589449
2025-03-28,0.010006026714019166,-0.009118644387017616,-0.01160006363260802,-0.013198988970531086,-0.006984756505741858
2025-03-31,-0.0018762029889753539,-0.008588290645952264,-0.007624155068216198,-0.0036856650910193313,-0.009412639978008444
2025-04-01,-0.025294174541797634,-0.06826787194992516,-0.044124706295126395,-0.015145814836637983,-0.023148209947136737
2025-04-02,0.08899204913720955,0.15757104072398195,0.051558157701537204,0.06278930826780105,0.06319882710300247
2025-04-03,0.009456997916288757,0.03960829747826354,-0.0013227734952611695,-0.010851989800693414,-0.008702168125195106
2025-04-04,-0.00700194684671048,-0.008689849271955328,-0.005366196035535507,-0.00012140760638809785,0.0027338093330018854
2025-04-07,0.02885903132445792,,-0.0067443024989790115,-0.0006082827979160731,-0.001915655641885648
2025-04-08,0.004039097987784276,-0.01858057952689306,-0.01008661380240195,-0.002198242660162225,-0.0011645388797045016
2025-04-09,0.004946189855224929,0.006962891657461959,0.0006446280220334327,-0.001979198783423579,0.0003321855292247139
2025-04-10,0.03839844683937677,0.034725778817327004,0.056095550972814566,0.026229220738685662,0.021452420433754258
2025-04-11,0.010818280239079195,0.03748707730781542,0.00563897803235666,0.009068161360834047,0.007796194694596909
2025-04-14,-0.0008826557340069833,-0.004764906346157635,-0.0035403842326972904,-0.00015171152786991988,-0.0011456667773917279
2025-04-15,-0.002234631804241625,-0.03403678326609456,-0.024678248545824344,-0.015390146974273487,-0.0160660628881757
2025-04-18,0.042900622943195375,,,0.008093784517187586,0.019535252271711403
2025-04-23,0.009587971426033206,0.00619355068978281,0.006839854577312946,0.004671324285745501,0.0029763095448028013
2025-04-24,-0.01313208832180709,-0.019668425197265114,-0.018863856639607376,-0.013705456148449745,-0.012479120170089364
2025-04-25,0.018313030085353395,-0.008209527606148325,0.014903054087336389,0.01374833333845931,0.014988225915975364
2025-04-28,-0.02280260868682016,,-0.020738372993082985,-0.012548133827179111,-0.014993708496325602
2025-04-30,0.016747245751491648,,0.05104160651524075,0.03929911003556027,0.03270869565006065
2025-05-01,0.008932952507064352,,-0.00813265144430717,-0.009628099402723647,-0.009063133192765459
2025-05-07,0.02682698514754844,0.08628499913399011,0.028057090397001525,0.029687454287560238,0.028076620523965035
2025-05-08,0.042036028745467933,,0.0659912843122096,0.04873449747378233,0.027724455914688414
2025-05-09,-0.010759079268424987,,0.027452143171515477,-0.026140763524759133,-0.018468242342151137
2025-05-12,0.00018766653537357692,,-0.03292676366860776,-0.01807386703587401,-0.019554930972991897
2025-05-13,-0.0017326988207765058,0.006017159059388365,-0.0023738945703462694,-0.0013023167538776868,0.003953188451047458
2025-05-14,0.006455707569523976,0.062151423829961104,-0.006210766122470656,-0.002279520875609824,0.006429833714188475
2025-05-15,0.002534269495618614,,-0.01988262210858875,-0.014510297222607616,-0.02249088464072073
2025-05-16,-0.023167560305109396,,-0.06198090757699424,-0.018092473279806568,-0.02451908250729459
2025-05-19,0.04421784441740342,,0.021138724496928513,0.020635916836557862,0.05384410696568562
2025-05-20,-0.03289786399571768,,-0.04995943605944112,-0.03903029721469836,-0.03623713704345165
2025-05-21,-0.029353251563991444,,-0.0007096609637665896,-0.055270473654024224,-0.015628266838672578
2025-05-22,-0.02196863410526851,-0.01772311576684426,-0.026753550244724894,-0.03257017242798619,-0.018103021160748595
