price_mom20,obv_mom20,divergence,fwd_1,fwd_5,fwd_10,sym,p_sign,o_sign,quad
0.0039525691699604515,-26359600.0,0.1929089452018656,0.0019685039370078705,0.08070866141732291,0.07677165354330717,6857.T,P-,O-,P-O-
-0.005859375,-28977600.0,0.19142338763868774,0.003929273084479323,0.07072691552062871,0.09037328094302555,6857.T,P-,O-,P-O-
-0.015414258188824692,-31704000.0,0.18345105300620707,0.019569471624266255,0.09393346379647749,0.09784735812133083,6857.T,P-,O-,P-O-
0.03373015873015883,-15506400.0,0.2163207251332746,0.05374280230326289,0.07293666026871404,0.06333973128598847,6857.T,P-,O-,P-O-
0.09362549800796804,8994800.0,0.20277574526756958,0.0,-0.0018214936247723523,0.007285974499089187,6857.T,P+,O-,P+O-
0.07436399217221146,2132400.0,0.2047931568284877,-0.007285974499089298,-0.0036429872495445936,-0.0036429872495445936,6857.T,P+,O-,P+O-
0.0943775100401607,8335200.0,0.21026027745008735,0.025688073394495303,0.0183486238532109,0.007339449541284404,6857.T,P+,O-,P+O-
0.1373346897253307,27340400.0,0.16080756193348955,0.0,0.003577817531305927,-0.014311270125223596,6857.T,P+,O+,P+O+
0.11911911911911921,16405600.0,0.19675785585935368,-0.019677996422182487,-0.008944543828264706,-0.02146690518783545,6857.T,P+,O+,P+O+
0.08300395256916993,1518000.0,0.22674003613720195,-0.0018248175182481452,0.009124087591240837,0.007299270072992803,6857.T,P+,O-,P+O-
0.07889546351084809,-9743200.0,0.288621510097013,0.014625228519195677,0.0,0.10237659963436929,6857.T,P+,O-,P+O-
0.06730769230769229,-11320800.0,0.27516015350844447,0.0108108108108107,-0.010810810810810811,0.057657657657657735,6857.T,P+,O-,P+O-
0.0914396887159532,2738000.0,0.23920488200656043,-0.012477718360071277,-0.017825311942959,0.08199643493761144,6857.T,P+,O-,P+O-
0.0799220272904484,2648800.0,0.21227246255618437,-0.0018050541516245744,-0.012635379061371799,0.1480144404332131,6857.T,P+,O-,P+O-
0.059386973180076685,-8951600.0,0.24123747517433963,-0.010849909584086825,-0.001808318264014508,0.1518987341772151,6857.T,P+,O-,P+O-
0.05394990366088637,-7850000.0,0.22128361730404528,0.003656307129798808,0.10237659963436929,0.2084095063985374,6857.T,P+,O-,P+O-
0.07017543859649122,4890800.0,0.17585651639364658,0.0036429872495447047,0.06921675774134783,0.180327868852459,6857.T,P+,O-,P+O-
0.09325396825396814,16931600.0,0.1289239476159899,-0.007259528130671544,0.10163339382940118,0.20326678765880213,6857.T,P+,O+,P+O+
0.06420233463035019,5632400.0,0.15540465204254827,0.009140767824497242,0.16270566727605118,0.24497257769652658,6857.T,P+,O-,P+O-
0.08447937131630656,20235200.0,0.08502147824052653,0.09239130434782616,0.15398550724637672,0.24637681159420288,6857.T,P+,O+,P+O+
0.18700787401574792,63475200.0,0.06395587876615849,-0.026533996683250405,0.09618573797678276,0.1990049751243781,6857.T,P+,O+,P+O+
0.1532416502946954,48309600.0,0.06897476866715446,0.03407155025553665,0.10391822827938668,0.2350936967632027,6857.T,P+,O+,P+O+
0.18786692759295498,52808400.0,0.10836655865326705,0.047775947281713416,0.09225700164744643,0.19275123558484353,6857.T,P+,O+,P+O+
0.22072936660268705,58082000.0,0.12980273866232617,0.0015723270440251014,0.070754716981132,0.10691823899371067,6857.T,P+,O+,P+O+
0.16029143897996367,49378400.0,0.07695282751205823,0.03767660910518056,0.0800627943485086,0.098901098901099,6857.T,P+,O+,P+O+
0.20400728597449902,59124400.0,0.10137181995112021,-0.01966717095310133,0.09379727685325268,0.09682299546142215,6857.T,P+,O+,P+O+
0.18899082568807346,54771600.0,0.09988252920592733,0.02314814814814814,0.11882716049382713,0.10956790123456783,6857.T,P+,O+,P+O+
0.18604651162790709,54708800.0,0.09639150626427939,0.02714932126696823,0.09200603318250367,0.10256410256410264,6857.T,P+,O+,P+O+
0.2182468694096602,67124000.0,0.09237957999213542,0.010279001468428861,0.03377386196769461,0.07635829662261373,6857.T,P+,O+,P+O+
0.25547445255474455,85521600.0,0.07489310655496983,0.05087209302325579,0.01744186046511631,0.05523255813953498,6857.T,P+,O+,P+O+
0.32175502742230355,105661600.0,0.055910871523785266,0.0027662517289073207,0.0027662517289073207,0.023513139695712226,6857.T,P+,O+,P+O+
0.3063063063063063,109966400.0,0.03745202861110697,-0.0013793103448276334,-0.008275862068965467,0.04137931034482767,6857.T,P+,O+,P+O+
0.2905525846702317,97337600.0,0.05741633939104329,-0.027624309392265234,0.00966850828729271,0.04419889502762442,6857.T,P+,O+,P+O+
0.2707581227436824,92692400.0,0.060914579817920256,-0.005681818181818232,0.04119318181818188,0.061079545454545414,6857.T,P+,O+,P+O+
0.26582278481012667,89525200.0,0.06740359679643204,0.03571428571428581,0.037142857142857144,0.07285714285714295,6857.T,P+,O+,P+O+
0.32541133455210236,102923600.0,0.06339490594870112,-0.008275862068965467,0.020689655172413834,0.06620689655172418,6857.T,P+,O+,P+O+
0.30965391621129323,89295200.0,0.09383850752360623,0.016689847009735637,0.05006954102920713,0.0890125173852574,6857.T,P+,O+,P+O+
0.3266787658802177,89887200.0,0.09982180277848296,0.002735978112175186,0.03419972640218871,0.03146374829001375,6857.T,P+,O+,P+O+
0.34003656307129804,101038400.0,0.07387121019805776,-0.009549795361528002,0.019099590723056004,0.01500682128240105,6857.T,P+,O+,P+O+
0.3152173913043479,87582400.0,0.10331780329615081,0.019283746556473913,0.03443526170798905,0.02203856749311295,6857.T,P+,O+,P+O+
0.22719734660033164,57690000.0,0.13778353517404096,0.020270270270270174,0.044594594594594694,0.002702702702702675,6857.T,P+,O+,P+O+
0.28620102214650767,76094800.0,0.12328634501570424,0.0013245033112583293,0.03708609271523189,-0.02384105960264904,6857.T,P+,O+,P+O+
0.2454695222405272,70107200.0,0.1143192418156207,-0.011904761904761862,-0.002645502645502673,-0.02645502645502651,6857.T,P+,O+,P+O+
0.17452830188679247,51529600.0,0.09739672774152441,0.0053547523427042165,-0.004016064257028162,-0.04149933065595712,6857.T,P+,O+,P+O+
0.1789638932496076,49692000.0,0.10687602351406911,0.02929427430093212,-0.011984021304926817,-0.04394141145139818,6857.T,P+,O+,P+O+
0.16944024205748875,46585200.0,0.10588623252248619,0.012936610608020649,-0.040103492884864145,-0.06597671410090555,6857.T,P+,O+,P+O+
0.20833333333333326,63625600.0,0.08789577951329264,-0.03703703703703709,-0.05874840357598976,-0.054916985951468655,6857.T,P+,O+,P+O+
0.13725490196078427,47187600.0,0.040298953215763045,-0.01326259946949604,-0.023872679045092826,-0.025198938992042397,6857.T,P+,O+,P+O+
0.09251101321585908,27278000.0,0.0555714008392193,-0.0026881720430107503,-0.037634408602150504,-0.008064516129032251,6857.T,P+,O+,P+O+
0.07848837209302317,12904400.0,0.13043812624128298,0.0,-0.03234501347708896,0.013477088948786964,6857.T,P+,O-,P+O-
0.026279391424619547,-1430400.0,0.11004126410520604,-0.006738544474393482,-0.02695417789757415,0.0417789757412399,6857.T,P-,O-,P-O-
0.016551724137930934,-14298800.0,0.15746188421162666,-0.0013568521031207537,0.004070556309362372,0.048846675712347354,6857.T,P-,O-,P-O-
0.016574585635359185,-11536000.0,0.14398858144061005,-0.02717391304347827,-0.0013586956521739468,0.05027173913043481,6857.T,P-,O-,P-O-
