sym,name,or_min,dir,stop,n,sharpe,t,h1_sharpe,h2_sharpe,h2_t
7203.T,トヨタ,60,both,none,254,-0.023033354363925475,-0.023124575926318197,-2.2981540368944624,1.804907974264414,1.2813171934165954
8058.T,三菱商事,15,long,orrange,188,-0.04073003569264294,-0.03517980638152647,-0.35251788541834045,0.23055715738757576,0.14081284248407475
5713.T,住友鉱山,60,both,orrange,293,-0.059304620195176315,-0.0639472788527373,0.8733512650095917,-0.5844129963730161,-0.4463527988325498
5020.T,ENEOS,15,both,orrange,284,-0.07289351238879915,-0.07738339456575294,-0.46217133117136067,0.22319257269407708,0.1675419786276714
8058.T,三菱商事,30,both,orrange,281,-0.0781816213422552,-0.08255769560989283,0.04325704613070417,-0.17501721177247073,-0.13091519190376028
7267.T,ホンダ,15,short,orrange,178,-0.08849692696435377,-0.07437687392917047,-2.4732213382636745,1.6551988056821423,0.9836597413940104
7011.T,三菱重工,30,short,orrange,199,-0.09280611994179644,-0.082471308234266,-0.6723824032947121,0.4738818028226702,0.2985174764542217
5713.T,住友鉱山,30,long,orrange,182,-0.10923841931312543,-0.09283480528527625,-0.24468458514557503,-0.045785726131748763,-0.027513797208728607
7011.T,三菱重工,60,both,none,292,-0.11116085437589379,-0.11965835591430697,0.04948591330165379,-0.31518096704925824,-0.23990325538985185
7267.T,ホンダ,60,long,orrange,120,-0.11964094194396394,-0.0825600935228076,-0.12148176867364038,-0.12016731155536652,-0.058635644056455646
7011.T,三菱重工,15,long,orrange,196,-0.13503305474397878,-0.1190879605419795,1.491163445934043,-2.29843284053156,-1.433324702629787
6503.T,三菱電機,30,long,orrange,179,-0.13639596801004125,-0.11495497662476935,1.3296647584378658,-1.5967589679949217,-0.9542460003793958
6503.T,三菱電機,60,short,orrange,165,-0.13714124440433337,-0.11097107358088436,1.4763132917510728,-1.4437721589864805,-0.8285857091491254
9101.T,日本郵船,60,both,none,252,-0.13800727201036037,-0.13800727201036037,-0.765993544119014,0.5699233199357954,0.4029966442829511
7011.T,三菱重工,30,both,orrange,316,-0.14150236453342038,-0.15845537223184591,0.2123275126915749,-0.5510212731904635,-0.4363114789278186
7011.T,三菱重工,15,both,orrange,325,-0.14588813061739633,-0.16567667478258347,0.07660228211673868,-0.40498978731622054,-0.3257148830878409
5713.T,住友鉱山,30,both,orrange,314,-0.14938076860028673,-0.16674746618419836,0.6810017148865486,-0.6255133685534519,-0.4937261746533635
6503.T,三菱電機,60,short,none,165,-0.16117198711523034,-0.13041611601984585,1.6905175432765873,-1.6100829802906838,-0.9240320501467614
7267.T,ホンダ,30,short,orrange,160,-0.17449683014738307,-0.13904240242021107,-2.681843978789614,1.3935403122179817,0.7851710160044885
9101.T,日本郵船,15,long,none,172,-0.17785858054013692,-0.14693957352606363,0.7891488933810976,-1.0006388176321341,-0.5845562410254419
5711.T,三菱マテ,15,long,none,219,-0.17851635622732173,-0.1664178092994243,-0.2526555136321976,-0.15185640271374115,-0.10032962291366147
6920.T,レーザー,15,long,none,202,-0.18555551776545787,-0.16613046765027117,-0.9280125647997403,0.48715415711475857,0.30840884823155285
6503.T,三菱電機,30,short,none,196,-0.21578281333034974,-0.19030255375799288,1.5930711751672824,-1.8362323320852485,-1.1450920448633186
9101.T,日本郵船,30,long,none,157,-0.23654967310342012,-0.1867118611500549,1.312799699163713,-1.3954975088487656,-0.7813441066598544
6857.T,アドバン,30,both,orrange,327,-0.24184650368542454,-0.2754948084505704,-0.9968357751285979,0.515821878465882,0.41612270440162535
6857.T,アドバン,60,both,orrange,296,-0.24277801131198287,-0.26312065086609665,-0.5384629079470246,0.06307729264760452,0.04833966450599852
5020.T,ENEOS,60,long,none,157,-0.24420184862933433,-0.1927518269447474,1.1646433298243406,-1.5189449313365764,-0.8504627653687273
6920.T,レーザー,30,short,orrange,196,-0.27498103985287636,-0.24251048223621735,-0.1427251834103273,-0.3723210843531985,-0.23218298925363812
6503.T,三菱電機,30,short,orrange,196,-0.28692618830822475,-0.25304511296508375,1.3787614572473657,-1.7699982240896477,-1.1037878216236314
6857.T,アドバン,15,short,none,211,-0.31418215624884566,-0.2874898214995449,-0.05223630335002725,-0.5653896245134568,-0.36669120759752566
7011.T,三菱重工,15,both,none,325,-0.31902158485539966,-0.3622942808234861,-0.5120350668189357,-0.07123627224462971,-0.05729209676997665
7267.T,ホンダ,15,long,none,166,-0.3231247723555214,-0.2622551516632626,1.109087917284795,-1.9616570846465613,-1.1258016138296356
5020.T,ENEOS,30,long,none,180,-0.32432857377039187,-0.27410767405207825,1.3082715626504307,-1.651451986942936,-0.9869313308681634
6857.T,アドバン,60,both,none,296,-0.3566129771568032,-0.3864939750915704,-0.7949897052226724,0.0972882302251233,0.0745574233145754
7267.T,ホンダ,15,long,orrange,166,-0.36109266579481786,-0.2930707266489578,0.500989450481975,-1.44259713978359,-0.8279113616674741
6857.T,アドバン,30,both,none,327,-0.3618079236606046,-0.41214656034237335,-1.2121328725657565,0.5267051181989417,0.4249024078989666
5020.T,ENEOS,60,long,orrange,157,-0.36349519438323197,-0.28691168062921735,1.1876625123987832,-1.7600775390838421,-0.9854737853040321
7203.T,トヨタ,15,short,none,191,-0.3749286927112338,-0.3264112291027915,-0.7254275001432527,-0.13428280663342845,-0.08288114762339929
9101.T,日本郵船,30,short,orrange,157,-0.39018035096249526,-0.3079746361794308,-1.2671608300228039,0.5304424359422885,0.2969966399923689
8035.T,TEL,60,long,orrange,149,-0.39140016075046924,-0.30096352406135607,-1.455488912808918,0.6911614894298784,0.37705950508938557
5713.T,住友鉱山,60,short,orrange,171,-0.3989530140408813,-0.32863932905421717,1.516079375907581,-1.3948808818430956,-0.81486577434398
5713.T,住友鉱山,30,both,none,314,-0.4121395082141168,-0.46005399057086976,0.6995192151614988,-1.0177582640041352,-0.8033303837624858
7267.T,ホンダ,15,short,none,178,-0.43016999973935005,-0.3615345858462665,-2.630098797672402,1.6810113234597,0.9989997322607489
5020.T,ENEOS,30,both,none,275,-0.4513569151602926,-0.47150486387318274,-0.6593179987502934,-0.28809762952572476,-0.21319595363699365
5713.T,住友鉱山,30,short,none,194,-0.45257458274236345,-0.3970916494468124,1.1222580260078234,-1.3084738673117016,-0.8118029966652299
8035.T,TEL,60,long,none,149,-0.4567473985943628,-0.35121167662078306,-1.2682534996903647,0.40220166825337217,0.21941899873911846
7011.T,三菱重工,15,long,none,196,-0.46020543268232816,-0.40586304229277226,0.5049643449952071,-1.8622712026507888,-1.161330133595786
9101.T,日本郵船,30,both,orrange,271,-0.49221074643536245,-0.5104291476555664,-0.7684703489009646,-0.17838900892371543,-0.13105007580181696
5711.T,三菱マテ,15,both,none,336,-0.5142645504857011,-0.5938215533152027,-0.737275144868906,-0.4356342583852041,-0.3556938825065047
6920.T,レーザー,60,both,orrange,290,-0.5149004714857932,-0.5523597419668934,-0.1848071985194301,-0.8111681943412544,-0.6153109509713051
8058.T,三菱商事,15,both,orrange,291,-0.5163338491065772,-0.5548515721957681,-1.5432342102573942,0.32447560476111065,0.246977965089547
7203.T,トヨタ,30,both,orrange,276,-0.5176730816306074,-0.5417636388171937,-2.114402302591564,1.2294421319938713,0.9098030004739333
7267.T,ホンダ,15,both,orrange,279,-0.5201028898591648,-0.5472567136322342,-0.78037249737994,-0.26635381208523,-0.19852840996292645
7011.T,三菱重工,30,long,none,175,-0.5233324455259721,-0.43611037127164337,0.34070411089968916,-1.8617440716095348,-1.1001731590967885
5706.T,三井金属,15,short,orrange,212,-0.5387791538856519,-0.4941723522209211,-0.5790759284377337,-0.5950607444360687,-0.3859348200082705
6857.T,アドバン,60,short,orrange,165,-0.5507543717582156,-0.4456558942485686,-0.8387511996144358,-0.25285168541355824,-0.14511243464828896
9101.T,日本郵船,15,short,orrange,178,-0.550766494252504,-0.4628894077184166,-1.4650804411837923,0.358689690285902,0.21316388507295952
8058.T,三菱商事,30,both,none,281,-0.5555646207308821,-0.586661341405774,0.3772427365714027,-1.1816062227653086,-0.8838571009181716
5020.T,ENEOS,30,long,orrange,180,-0.597607450140514,-0.5050704791437152,0.065521574916898,-1.1803004819023353,-0.7053644517904215
8035.T,TEL,15,short,orrange,204,-0.6048326180707518,-0.5441893241107949,-0.9891256491241215,-0.24970974765482823,-0.15886759141283466
6857.T,アドバン,15,short,orrange,211,-0.6073515590729006,-0.5557520942310995,0.04256543451733994,-1.2224726717027206,-0.792851444041621
7267.T,ホンダ,15,both,none,279,-0.6160881593795442,-0.6482532360108177,-0.619699774669928,-0.6102564818848958,-0.4548583257348319
5706.T,三井金属,60,short,none,168,-0.6231474938416056,-0.5087977981353523,-3.5471072913838144,0.6974788476891358,0.40268960046739255
9101.T,日本郵船,30,short,none,157,-0.6241728568082717,-0.4926680905750706,-1.7757691070803447,0.583102507672629,0.32648120477438014
8035.T,TEL,30,long,none,177,-0.6281405923124549,-0.5264331416298598,-1.097905462630632,-0.18399422226959922,-0.10934499739511182
6920.T,レーザー,15,short,orrange,224,-0.6493957649429379,-0.6122561987533022,0.7056464652125799,-1.759380604989124,-1.1729204033260825
5706.T,三井金属,60,short,orrange,168,-0.6530541996195455,-0.5332165211498515,-2.9071635057796863,0.07893289238332099,0.045571926665426137
6857.T,アドバン,60,short,none,165,-0.6662966788742244,-0.5391496781234842,-1.198219573828928,-0.0782934936994711,-0.04493289996967334
5020.T,ENEOS,15,short,none,163,-0.6994257976644506,-0.5625163869552521,-3.4379589251656535,1.4801940341482007,0.844355438997019
7011.T,三菱重工,30,both,none,316,-0.7022782587369664,-0.7864162783811028,-0.7968353199959051,-0.5905098696953255,-0.4675794694394387
7203.T,トヨタ,60,long,none,127,-0.7218439268172129,-0.5124422117815679,-3.098870167155417,0.9305733244747165,0.46896487490870775
7203.T,トヨタ,15,long,orrange,159,-0.7301756807809379,-0.5799968782203243,-3.0425094348822412,0.9860526608855068,0.5555777344891741
6920.T,レーザー,30,short,none,196,-0.7313004693362294,-0.6449463918428264,0.41212891977926797,-1.4434185065738543,-0.9001295862213787
9101.T,日本郵船,15,both,orrange,283,-0.7369683827741987,-0.7809834012678722,-1.3313212406580488,-0.08206584603708524,-0.06160363697072066
7203.T,トヨタ,30,long,orrange,149,-0.7551205345721882,-0.5806429326451634,-3.0399585060978094,1.171533517372541,0.6391239312544681
8035.T,TEL,15,long,none,200,-0.7719366151424772,-0.6876957948021722,-0.6352105204948352,-0.9086929879050999,-0.5724227771678853
8058.T,三菱商事,60,both,orrange,265,-0.7783509181016308,-0.7981749773430498,-1.2195606464425133,-0.47572621831288875,-0.3456070850697751
