sym,name,sector,pattern,condition,gross_n,gross_mean,gross_med,gross_std,gross_wr,gross_sharpe,net_mean,net_wr,net_sharpe
6857.T,アドバンテスト,半導体,引け前30分_曜日別,木曜,42,0.14737984484498348,0.2388173654791772,0.4953395643413348,59.523809523809526,4.723189251901706,0.10737984484498347,59.523809523809526,3.44128011246147
6857.T,アドバンテスト,半導体,引け前30分_曜日別,金曜,41,-0.0826605984332869,-0.02520161290322509,0.47515090493406187,48.78048780487805,-2.7616412100732757,-0.12266059843328693,46.34146341463415,-4.098017313037071
6857.T,アドバンテスト,半導体,引け前30分_パターン別,前高後高,57,0.20287145784003563,0.16822879115596656,0.3796806749148465,64.91228070175438,8.482087096135283,0.16287145784003562,64.91228070175438,6.809680896378309
6857.T,アドバンテスト,半導体,引け前30分_パターン別,前高後安,50,-0.08674657035538245,-0.07213937856737074,0.43882680144454733,38.0,-3.1380469674040006,-0.1267465703553825,34.0,-4.585042257038201
6857.T,アドバンテスト,半導体,引け前30分_パターン別,前安後高,45,0.37401413517177357,0.31999999999999806,0.3979991005500061,86.66666666666667,14.917848615033417,0.33401413517177364,86.66666666666667,13.322417083208336
6857.T,アドバンテスト,半導体,引け前30分_パターン別,前安後安,44,-0.24322493496187486,-0.23727544910179255,0.5230588203465545,27.27272727272727,-7.381724565500514,-0.2832249349618748,27.27272727272727,-8.59569953343011
6857.T,アドバンテスト,半導体,月曜ON_金曜分位別gap,金大幅安,16,-1.0058400602981963,0.21457632519166214,4.485536352266833,68.75,-3.5597116365943986,-1.0058400602981963,68.75,-3.5597116365943986
6857.T,アドバンテスト,半導体,月曜ON_金曜分位別gap,金小幅安,16,-1.2911039957357344,-0.7787378521260657,2.634559519605707,31.25,-7.779532170029973,-1.2911039957357344,31.25,-7.779532170029973
6857.T,アドバンテスト,半導体,月曜ON_金曜分位別gap,金小幅高,16,-0.27864992359440877,0.6907234556979391,3.279381362071979,75.0,-1.3488612380454945,-0.27864992359440877,75.0,-1.3488612380454945
6857.T,アドバンテスト,半導体,月曜ON_金曜分位別gap,金大幅高,16,0.7601341617748634,1.040506453096568,4.573059678095361,56.25,2.638661329613496,0.7601341617748634,56.25,2.638661329613496
6857.T,アドバンテスト,半導体,月曜ON_全体gap,全体,64,-0.453864954463369,0.29188853869511755,3.9127451060010503,57.8125,-1.841388231207832,-0.453864954463369,57.8125,-1.841388231207832
6920.T,レーザーテック,半導体,曜日効果_日次,月曜_日次,64,0.3024739170866523,-0.08371074562863456,2.9218163899833494,50.0,1.6433697177653517,0.26247391708665235,50.0,1.4260458924790136
6920.T,レーザーテック,半導体,曜日効果_前場,月曜_前場,64,0.22978683773727074,-0.3700748536495102,2.717851670446137,43.75,1.3421457112314896,0.1897868377372708,43.75,1.1085125363381487
6920.T,レーザーテック,半導体,曜日効果_後場,月曜_後場,64,0.11689809834780547,0.25794794484103045,1.474664373504299,59.375,1.2583878848162684,0.07689809834780541,59.375,0.827794777622273
6920.T,レーザーテック,半導体,曜日効果_日次,火曜_日次,70,-0.18751899115794102,-0.6594363061860675,2.5213866575623793,42.857142857142854,-1.180608968206276,-0.22751899115794105,42.857142857142854,-1.432446707075485
6920.T,レーザーテック,半導体,曜日効果_前場,火曜_前場,70,0.280454160023072,0.09551087029695537,2.2446194693675103,52.85714285714286,1.9834416613618138,0.2404541600230721,52.85714285714286,1.7005517001362591
6920.T,レーザーテック,半導体,曜日効果_後場,火曜_後場,70,-0.42330237254075526,-0.26267126426531284,1.3739532401612768,45.714285714285715,-4.890790054812898,-0.46330237254075524,45.714285714285715,-5.3529457498502095
6920.T,レーザーテック,半導体,曜日効果_日次,水曜_日次,72,0.2999142655900312,-0.12219651709390877,2.732733381558888,47.22222222222222,1.7422085156492235,0.25991426559003133,47.22222222222222,1.5098476424881269
6920.T,レーザーテック,半導体,曜日効果_前場,水曜_前場,72,0.4515550288589313,-0.07740771707668848,2.279478371578509,47.22222222222222,3.144672898459688,0.4115550288589312,47.22222222222222,2.866109029386525
6920.T,レーザーテック,半導体,曜日効果_後場,水曜_後場,72,-0.14756212048260675,-0.2315145151111142,1.6312186133367905,43.05555555555556,-1.4360282694360886,-0.1875621204826068,43.05555555555556,-1.825295722286322
6920.T,レーザーテック,半導体,曜日効果_日次,木曜_日次,72,-0.18626831814559497,-0.48739044292958056,2.3692364616209534,44.44444444444444,-1.2480467566491864,-0.22626831814559495,44.44444444444444,-1.516057284488636
6920.T,レーザーテック,半導体,曜日効果_前場,木曜_前場,72,-0.3642973896908377,-0.3906416867543394,2.146880803439934,43.05555555555556,-2.6936948567826953,-0.4042973896908376,41.66666666666667,-2.989463636138343
6920.T,レーザーテック,半導体,曜日効果_後場,木曜_後場,72,0.23134926026666347,0.06831801399591608,1.238101836363122,52.77777777777778,2.96627914128137,0.1913492602666634,52.77777777777778,2.4534131588507693
6920.T,レーザーテック,半導体,曜日効果_日次,金曜_日次,73,0.2811529208203772,0.15424164524422412,2.6325810075971505,52.054794520547944,1.6953568533469743,0.24115292082037706,52.054794520547944,1.4541561788670376
6920.T,レーザーテック,半導体,曜日効果_前場,金曜_前場,73,0.04720950386562342,-0.023261223540360643,2.273780687329802,47.94520547945205,0.3295953935483449,0.007209503865623456,47.94520547945205,0.05033349366776061
6920.T,レーザーテック,半導体,曜日効果_後場,金曜_後場,73,0.20638550166787512,0.22241992882561235,1.1088824947092162,56.16438356164384,2.9545675807554015,0.16638550166787505,54.794520547945204,2.3819367405309695
6920.T,レーザーテック,半導体,前日→翌日,前日大幅安,88,0.10764316178861878,-0.1843211709385617,2.526097838404504,47.72727272727273,0.6764513205298222,0.06764316178861886,47.72727272727273,0.4250832598783957
6920.T,レーザーテック,半導体,前日→翌日,前日小幅安,87,0.44974586114763604,0.2666666666666595,2.1746116962039386,52.87356321839081,3.283112209469987,0.4097458611476359,52.87356321839081,2.9911151068314132
