code,last_date,adv,ret12m,ret3m,n_days
96370,2024-04-04,2186000.0,0.5685039370078739,-0.0030030030030030463,797
96410,2022-07-14,1811550.0,0.14021164021164023,0.23142857142857154,375
96710,2021-03-22,28951000.0,0.004983388704318914,0.004983388704318914,53
96810,2021-04-22,158466800.0,0.0007704160246533309,0.0023148148148148806,76
96950,2022-03-10,1459000.0,0.043636363636363695,0.08301886792452828,290
97070,2021-06-09,42987150.0,0.39779559118236474,-0.0014316392269148048,106
97280,2023-03-29,112519000.0,-0.05391304347826087,0.07680126682501975,547
97340,2023-05-18,731850.0,0.7134670487106016,0.7562408223201176,580
97580,2021-04-23,114616900.0,0.001700680272108901,-0.05608974358974361,77
97830,2024-05-16,670737800.0,0.34439834024896276,-0.0011560693641619046,824
97970,2021-07-09,4908200.0,0.2437499999999999,0.03826086956521735,128
98100,2023-06-20,256482500.0,0.872983870967742,0.0010775862068965747,603
98290,2021-05-27,796600.0,0.18575624082232012,0.21794871794871784,97
99090,2021-12-02,1189850.0,0.7251289609432572,-0.007209499575911771,225
99450,2023-02-22,116488250.0,0.32228915662650603,-0.0018946570670708152,524
99640,2023-01-24,1704300.0,0.9160142348754448,0.0007434944237918462,503
99660,2021-12-28,22595600.0,-0.002580645161290307,0.005201560468140354,243
99670,2023-08-18,1697700.0,0.8108108108108107,0.0,644
99770,2024-05-01,3337600.0,0.5595385249278946,-0.0013192612137202797,815
99950,2024-05-29,28691200.0,0.8678304239401495,0.004021447721179516,833
