,eneos_vwap_trend,vwap_morning_meanrevert,lasertec_ma25_support,bank_absorption,closing_auction
2025-10-14,-0.011631101511879,0.0,0.0,-0.0081791121832579,0.0028380380887749438
2025-10-15,0.0,0.0,0.0,0.0080042653243686,0.004202099194255404
2025-10-16,0.0,0.0,0.0,0.0080042653243686,-0.004363782280981924
2025-10-17,0.0,0.0,0.0,0.0080042653243686,0.016151220836378842
2025-10-20,0.0,0.0,0.0,0.0080042653243686,0.006153846153846176
2025-10-21,0.0,0.0,0.0,0.0080042653243686,0.004063029449142237
2025-10-22,0.0,0.0,0.0,0.0,-0.010462945953482
2025-10-23,0.0099945693678404,0.0,0.0,0.0,0.011586312409791912
2025-10-24,0.0,0.0,0.0,0.0,0.017854286302929512
2025-10-27,0.0,0.0,0.0,0.0,-0.0005079066362347893
2025-10-28,0.0,0.0,0.0,0.0,0.007286647258155261
2025-10-29,0.0,0.0,0.0,0.0004950208359174,0.007020347670590699
2025-10-30,0.0,0.0,0.0,0.0004950208359174,0.01007106417103672
2025-10-31,0.0,0.0129761369716425,0.0,0.0004950208359174,0.006987068335455852
2025-11-04,0.0,0.0,0.0,0.0004950208359174,-0.008355907144863515
2025-11-05,-0.0062394160583941,0.0186473115815733,0.0,0.0004950208359174,0.012391103489068836
2025-11-06,0.0,0.0,0.0,0.0051887789248843,-0.002707303537278389
2025-11-07,0.0,0.0,0.0,0.0051887789248843,0.007695341055191065
2025-11-10,0.0,0.0,0.0,0.0051887789248843,0.0021798936869664607
2025-11-11,0.0,0.0,0.0,0.0047320597009489,0.0013959948910984127
2025-11-12,-0.0097091621754042,0.0,0.0,0.0023838677055387,-0.0037445266594084087
2025-11-13,0.0229366434955313,0.0,0.0,0.0016826399007023,-0.006796228627499912
2025-11-14,0.0053775637939334,0.0,0.0,-0.0020227252001348,0.008912318515413407
2025-11-17,0.0,0.0,0.0,-0.0010020728005228,-0.006652157888828808
2025-11-18,0.0337888619854721,0.0,0.0,-0.0015699529183532,-0.0027719560646602133
