date,code,side,entry,exit,or_high,or_low,pnl,entry_ts
2026-01-23,58020,1,6890.0,6725.0,6890.0,6775.0,-0.025839159537664386,2026-01-23 09:36:00
2026-01-26,58020,1,6652.0,6547.0,6652.0,6568.0,-0.01751063187172698,2026-01-26 09:20:00
2026-01-27,58020,1,6582.0,6679.0,6582.0,6486.0,0.013029625222350634,2026-01-27 09:16:00
2026-01-29,58020,-1,6860.0,6860.0,7115.0,6860.0,-0.0016,2026-01-29 09:18:00
2026-01-30,58020,1,6826.0,6724.0,6826.0,6720.0,-0.016655634938146178,2026-01-30 09:16:00
2026-02-02,58020,1,6875.0,6804.0,6875.0,6716.0,-0.011980969019019676,2026-02-02 09:19:00
2026-02-03,58020,1,7003.0,7655.0,7003.0,6852.0,0.08742040043626649,2026-02-03 09:40:00
2026-02-04,58020,-1,7902.0,7833.0,8239.0,7902.0,0.007170313604097477,2026-02-04 09:45:00
2026-02-05,58020,-1,7646.0,7407.0,7800.0,7646.0,0.030157136243068868,2026-02-05 09:17:00
2026-02-06,58020,1,7369.0,7540.0,7369.0,7248.0,0.021340170235002374,2026-02-06 09:40:00
2026-02-12,58020,1,8720.0,8770.0,8720.0,8475.0,0.00411756846320346,2026-02-12 09:16:00
2026-02-13,58020,1,8739.0,8593.0,8739.0,8598.0,-0.018447848314321252,2026-02-13 09:33:00
2026-02-16,58020,-1,8678.0,8653.0,8874.0,8678.0,0.0012850057515571489,2026-02-16 09:16:00
2026-02-17,58020,1,8720.0,8651.0,8720.0,8569.0,-0.009544316722650997,2026-02-17 09:22:00
2026-02-18,58020,1,8696.0,8826.0,8696.0,8453.0,0.013238761028447246,2026-02-18 09:16:00
2026-02-19,58020,1,9125.0,9320.0,9125.0,8992.0,0.01954472922894468,2026-02-19 09:37:00
2026-02-20,58020,1,9424.0,9748.0,9424.0,9232.0,0.032202508853728974,2026-02-20 09:18:00
2026-02-25,58020,1,10745.0,10715.0,10745.0,10385.0,-0.004395901168933426,2026-02-25 10:15:00
2026-02-26,58020,-1,10495.0,10240.0,10800.0,10495.0,0.02299733366123463,2026-02-26 09:16:00
2026-03-02,58020,1,10315.0,10865.0,10315.0,9969.0,0.05034746718517772,2026-03-02 09:42:00
2026-03-03,58020,1,11450.0,10325.0,11450.0,11205.0,-0.10502159115315216,2026-03-03 09:21:00
2026-03-04,58020,1,10275.0,9945.0,10275.0,9770.0,-0.03424384807636283,2026-03-04 09:16:00
2026-03-06,58020,-1,9751.0,9897.0,10005.0,9751.0,-0.01646183706157201,2026-03-06 09:25:00
2026-03-12,58020,1,10675.0,10365.0,10675.0,10340.0,-0.03106981322694533,2026-03-12 09:35:00
2026-03-13,58020,1,10210.0,10390.0,10210.0,9800.0,0.015876172934561807,2026-03-13 09:19:00
2026-03-16,58020,1,10395.0,10150.0,10395.0,10170.0,-0.02545121582217991,2026-03-16 09:17:00
2026-03-17,58020,-1,9986.0,9525.0,10300.0,9986.0,0.04566419106565285,2026-03-17 09:20:00
2026-03-18,58020,1,9886.0,10005.0,9886.0,9725.0,0.010365353150929277,2026-03-18 09:24:00
2026-03-19,58020,1,9891.0,9948.0,9891.0,9720.0,0.00414627318345457,2026-03-19 09:20:00
2026-03-26,58020,-1,10170.0,9885.0,10320.0,10170.0,0.026823753437888356,2026-03-26 09:29:00
2026-04-02,58020,-1,9310.0,9104.0,9555.0,9310.0,0.02077521390500062,2026-04-02 09:30:00
2026-04-06,58020,-1,9610.0,9542.0,9849.0,9610.0,0.005501115888285881,2026-04-06 09:25:00
2026-04-07,58020,-1,9320.0,9191.0,9557.0,9320.0,0.012337884321527371,2026-04-07 10:00:00
2026-04-09,58020,-1,10050.0,10410.0,10300.0,10050.0,-0.03679424812179268,2026-04-09 09:26:00
2026-04-10,58020,1,10485.0,10580.0,10485.0,10100.0,0.007419762076269989,2026-04-10 09:31:00
2026-04-13,58020,-1,10440.0,9926.0,10835.0,10440.0,0.04888700528924359,2026-04-13 09:22:00
2026-04-14,58020,1,10155.0,10075.0,10155.0,9859.0,-0.009509087199601288,2026-04-14 09:38:00
2026-04-15,58020,-1,10085.0,9551.0,10380.0,10085.0,0.052803310353574634,2026-04-15 09:16:00
2026-04-16,58020,1,9975.0,10140.0,9975.0,9627.0,0.01480603538710994,2026-04-16 10:37:00
2026-04-17,58020,1,10060.0,9976.0,10060.0,9852.0,-0.009984956293857839,2026-04-17 09:17:00
2026-04-20,58020,1,10200.0,9976.0,10200.0,10010.0,-0.02380551191249008,2026-04-20 09:18:00
2026-04-21,58020,1,10455.0,10300.0,10455.0,10275.0,-0.01653643764500676,2026-04-21 09:16:00
2026-04-22,58020,1,10315.0,10700.0,10315.0,10030.0,0.0350445949446454,2026-04-22 10:16:00
2026-04-23,58020,-1,10480.0,10205.0,10845.0,10480.0,0.02499088263108801,2026-04-23 09:16:00
2026-04-24,58020,1,10355.0,10015.0,10355.0,10185.0,-0.034985525729765946,2026-04-24 09:17:00
2026-04-27,58020,-1,9951.0,10060.0,10190.0,9951.0,-0.012494116038568094,2026-04-27 09:17:00
2026-04-28,58020,1,10100.0,10190.0,10100.0,9952.0,0.0072714233874196866,2026-04-28 10:04:00
2026-04-30,58020,1,10265.0,10190.0,10265.0,10055.0,-0.008933203236263444,2026-04-30 09:45:00
2026-05-01,58020,-1,9958.0,9900.0,10320.0,9958.0,0.004241491079446718,2026-05-01 09:22:00
2026-05-08,58020,-1,10840.0,11305.0,11095.0,10840.0,-0.04360210971843307,2026-05-08 09:17:00
2026-05-11,58020,-1,11390.0,11210.0,11670.0,11390.0,0.01432954037502221,2026-05-11 09:28:00
2026-05-13,58020,1,11765.0,12775.0,11765.0,11080.0,0.08076111391044231,2026-05-13 09:16:00
2026-05-14,58020,-1,12685.0,12105.0,13030.0,12685.0,0.04520160266122335,2026-05-14 09:19:00
2026-05-15,58020,-1,12065.0,10980.0,12425.0,12065.0,0.09263326299561049,2026-05-15 09:26:00
2026-05-18,58020,-1,10750.0,11380.0,11265.0,10750.0,-0.05855167412451304,2026-05-18 09:16:00
2026-05-19,58020,1,11310.0,10840.0,11310.0,10970.0,-0.04404429411652891,2026-05-19 09:45:00
2026-05-20,58020,-1,10115.0,10525.0,10465.0,10115.0,-0.041333908948736314,2026-05-20 09:16:00
2026-05-21,58020,-1,10460.0,10730.0,10895.0,10460.0,-0.027085098005830255,2026-05-21 09:18:00
