date,pnl,grp
2025-12-02,-0.013822826732553696,wire
2025-12-03,-0.005944937198871988,miner
2025-12-03,-0.004672229144871419,wire
2025-12-04,0.007919416283835613,miner
2025-12-04,0.00326128535533954,wire
2025-12-05,-0.0032772982997197903,miner
2025-12-05,-0.0075477205456035805,wire
2025-12-08,0.0005107158553474961,miner
2025-12-08,-0.0030326969535524034,wire
2025-12-09,-4.0868758711799444e-05,miner
2025-12-09,-0.008913550358676449,wire
2025-12-10,-0.019523639958554696,miner
2025-12-10,0.006876808793895142,wire
2025-12-11,-0.009021578487453137,miner
2025-12-11,-0.006066093016773662,wire
2025-12-12,-0.024458216841578104,miner
2025-12-12,-0.0029751709639801818,wire
2025-12-15,-0.002012955916440488,miner
2025-12-15,0.011431938996234512,wire
2025-12-16,-0.008151754950878519,miner
2025-12-16,-0.006294481414941308,wire
2025-12-17,-0.010573912153743594,miner
2025-12-17,-0.002186130227732764,wire
2025-12-18,-0.0020467368415896083,miner
2025-12-18,-0.005702584737306073,wire
2025-12-19,0.010963960963737328,miner
2025-12-19,0.006450704256923812,wire
2025-12-22,0.005773896239001199,miner
2025-12-22,-0.004760799867311594,wire
2025-12-23,0.00441699220044859,miner
2025-12-23,0.009680879193493391,wire
2025-12-24,-0.036553665927617725,miner
2025-12-24,-0.01927165086525387,wire
2025-12-25,-0.0032849419005519295,miner
2025-12-25,-0.0014299690294115792,wire
2025-12-26,-0.013300382606080227,miner
2025-12-26,0.007661458605637774,wire
2025-12-29,0.0003332216317603275,miner
2025-12-29,-0.011931942627312833,wire
2025-12-30,-0.003160334590369969,miner
2025-12-30,0.0013652532029602236,wire
2026-01-05,0.001826812494724269,miner
2026-01-05,0.0036311541502097398,wire
2026-01-06,0.01061154579045835,miner
2026-01-06,0.001847063261853704,wire
2026-01-07,0.004073543406651927,miner
2026-01-07,0.012089710132995172,wire
2026-01-08,-0.0019672076621521564,miner
2026-01-08,0.001925934671638322,wire
2026-01-09,0.003735068583677126,miner
2026-01-09,-0.01041028670085658,wire
2026-01-13,-0.009923657162463006,miner
2026-01-13,-0.0021197478359236775,wire
2026-01-14,0.007600826558208039,miner
2026-01-14,0.004448635586169061,wire
2026-01-15,-0.026689303548450317,miner
2026-01-15,0.00191430326177971,wire
2026-01-16,-0.011125182421379437,miner
2026-01-16,0.015826959528710292,wire
2026-01-19,-0.01335006453326344,miner
2026-01-19,-0.022282179613548045,wire
2026-01-20,0.003823419935383047,miner
2026-01-20,-0.02906489106501433,wire
2026-01-21,-0.024166262362213378,miner
2026-01-21,-0.037963223552131345,wire
2026-01-22,-0.01607758769691779,miner
2026-01-22,0.0007291125068982288,wire
2026-01-23,-0.010028668717901165,miner
2026-01-23,0.016476065487451008,wire
2026-01-26,-0.012949444162387145,miner
2026-01-26,-0.00389745969788257,wire
2026-01-27,-0.01633668671390804,miner
2026-01-27,0.0088470090558567,wire
2026-01-28,-0.007516602625295701,miner
2026-01-28,0.005653759406289266,wire
2026-01-29,-0.029593380440785404,miner
2026-01-29,-0.000914224350724184,wire
2026-01-30,-0.006355873093420672,miner
2026-01-30,-0.006144297943493464,wire
2026-02-02,-0.013841291684089395,miner
2026-02-02,-0.004366505678245907,wire
2026-02-03,0.00364309371862615,miner
2026-02-03,-0.03314544937904769,wire
2026-02-04,0.007612270874278163,miner
2026-02-04,0.02223202009981797,wire
2026-02-05,-0.0003258880182543545,miner
2026-02-05,-0.00308407592612568,wire
2026-02-06,-0.009236497427413498,miner
2026-02-06,-0.009313577144484326,wire
2026-02-09,-0.018564127231902663,miner
2026-02-09,0.10167811651140529,wire
2026-02-10,-0.018322883700074143,miner
2026-02-10,-0.04369298361726083,wire
2026-02-12,0.005418688748479571,miner
2026-02-12,-0.02634476000647018,wire
2026-02-13,-0.005012799296485153,miner
2026-02-13,-0.018534598239936168,wire
2026-02-16,-0.007542082799793065,miner
2026-02-16,0.0023927739347836107,wire
2026-02-17,-0.012662592822261195,miner
2026-02-17,0.0025905428977389417,wire
2026-02-18,0.004714045152664969,miner
2026-02-18,-0.001893870670277428,wire
2026-02-19,0.006756523966004069,miner
2026-02-19,-0.012882641301885166,wire
2026-02-20,0.0005844797660375343,miner
2026-02-20,-0.02008550350699307,wire
2026-02-24,0.0088486606284607,miner
2026-02-24,0.025627491589976237,wire
2026-02-25,-0.006175080388206819,miner
2026-02-25,-0.011184306261254278,wire
2026-02-26,0.024621686504325717,miner
2026-02-26,-0.030714296195331517,wire
2026-02-27,0.002046015848693598,miner
2026-02-27,0.02332735770119892,wire
2026-03-02,0.02467844202425063,miner
2026-03-02,0.0022817120452466397,wire
2026-03-03,-0.03890891449362768,miner
2026-03-03,-0.024133528903472062,wire
2026-03-04,0.0007487818957605755,miner
2026-03-04,0.013133366766423233,wire
2026-03-05,0.007567467105424155,miner
2026-03-05,0.010347619843927538,wire
2026-03-06,-0.003290875000413639,miner
2026-03-06,0.018086868074293175,wire
2026-03-09,-0.0030695288746283153,miner
2026-03-09,-0.008564912740384779,wire
2026-03-10,-0.017842794609655148,miner
2026-03-10,0.02952668706994998,wire
2026-03-11,0.01668600762125936,miner
2026-03-11,-0.012851419099849708,wire
2026-03-12,-0.0050438262048914835,miner
2026-03-12,0.009863504614522236,wire
2026-03-13,0.002304929095616479,miner
2026-03-13,-0.008827195074932943,wire
2026-03-16,0.004559906601336817,miner
2026-03-16,0.018912521280390573,wire
2026-03-17,-0.02745624502312015,miner
2026-03-17,-0.007795404868786776,wire
2026-03-18,0.009206719580774354,miner
2026-03-18,-0.00853888055421784,wire
2026-03-19,-0.0169720347210274,miner
2026-03-19,0.017691662294129024,wire
2026-03-23,-0.023568812102118357,miner
2026-03-23,0.007434106059104793,wire
2026-03-24,0.00628598416457875,miner
2026-03-24,-0.011165950717440669,wire
2026-03-25,-0.01431582510412783,miner
2026-03-25,-0.012575106840945866,wire
2026-03-26,-0.01175614260569212,miner
2026-03-26,-0.026486968520548528,wire
2026-03-27,0.011779230667174671,miner
2026-03-27,-0.00017394229614147187,wire
2026-03-30,0.020415382372079648,miner
2026-03-30,0.01442885182571734,wire
2026-03-31,0.008770891731386078,miner
2026-03-31,0.006243158163523825,wire
2026-04-01,0.001051490134041145,miner
2026-04-01,-0.01934098548751441,wire
2026-04-02,0.0028613893179401124,miner
2026-04-02,-0.017683092450161614,wire
2026-04-03,0.0018390481572758259,miner
2026-04-03,0.00726455661575663,wire
2026-04-06,-0.006975305977331834,miner
2026-04-06,0.002963496250372035,wire
2026-04-07,0.0030138651631460645,miner
2026-04-07,-0.013584210652783684,wire
2026-04-08,0.009451471250167837,miner
2026-04-08,-0.033240127811465583,wire
2026-04-09,-0.03610729878859433,miner
2026-04-09,-0.0011689573841651164,wire
2026-04-10,-0.00867740199365737,miner
2026-04-10,-0.021318245777613105,wire
2026-04-13,-0.0016082103920061564,miner
2026-04-13,0.009046773772260368,wire
2026-04-14,-0.027003875840249977,miner
2026-04-14,-0.0011089120196178092,wire
2026-04-15,-0.0002811386777032462,miner
2026-04-15,-0.010904353965836203,wire
2026-04-16,-0.015806902616215927,miner
2026-04-16,-0.007631296054734468,wire
2026-04-17,0.015994982755701465,miner
2026-04-17,-0.0003668465397397777,wire
2026-04-20,0.0013970637759473069,miner
2026-04-20,-0.008867801494476666,wire
2026-04-21,-0.006706537567322684,miner
2026-04-21,0.025217603277508577,wire
2026-04-22,-0.018900257412090768,miner
2026-04-22,0.004673150191733172,wire
2026-04-23,0.0171716727851459,miner
2026-04-23,-0.001994015675448461,wire
2026-04-24,-0.0064852231294963685,miner
2026-04-24,-0.02236804497539941,wire
2026-04-27,0.017798607788936764,miner
2026-04-27,-0.02214287524477123,wire
2026-04-28,0.009199426244689045,miner
2026-04-28,0.010593014393579963,wire
2026-04-30,-0.019915793669407322,miner
2026-04-30,0.0012766347579534487,wire
2026-05-01,0.005032727033394755,miner
2026-05-01,-0.0030466040701790306,wire
2026-05-07,0.02281219291277809,miner
2026-05-07,0.011327214961363083,wire
2026-05-08,-0.01886922022428575,miner
2026-05-08,-0.0036100940528130537,wire
2026-05-11,-0.017687183627263056,miner
2026-05-11,-0.006799607900709765,wire
2026-05-12,0.04736662715694593,miner
2026-05-12,0.02209412035157861,wire
2026-05-13,-0.004417117536137922,miner
2026-05-13,-0.006530329409630031,wire
2026-05-14,-0.023327652626912762,miner
2026-05-14,-0.09203244980131081,wire
2026-05-15,0.043681988400210967,miner
2026-05-15,-0.006917733151402592,wire
2026-05-18,0.029787371806634766,miner
2026-05-18,0.016708184044213148,wire
2026-05-19,0.023150228707359118,miner
2026-05-19,-0.0689120954821742,wire
2026-05-20,-0.00023385625106188673,miner
2026-05-20,-0.011199701708014717,wire
2026-05-21,-0.01655521740333666,miner
2026-05-21,0.019545024953826685,wire
