hypothesis,scale,horizon,N,gross,net,wr,t_stat,pf,sharpe
H9a_MA25 -5〜0%,Large70,10,12270,0.7471509682341886,0.6471509682341884,54.62917685411573,14.071422501843148,1.3650266712206138,0.5523485698573005
H9b_MA25 -10〜-5%,Large70,10,3087,1.3898797492886226,1.289879749288623,59.863945578231295,11.588893715212508,1.718473729486865,0.9717307203941363
H10_vol≥2.0x×大陽線,Large70,10,592,1.29738144049392,1.1973814404939203,56.08108108108109,4.715360353837625,1.614598515375334,0.8978817535643596
H11_52高値-30%超下,Large70,10,2931,1.3109056575916385,1.2109056575916384,55.95359945411123,8.744008504641206,1.5315494581996631,0.7489309924432912
H12_20日高値×vol≥1.5x,Large70,10,1082,0.853112263617382,0.7531122636173821,56.007393715341955,4.259263008506361,1.3713883425549442,0.5738186152890506
H1a_MA25<-15%,Large70,20,408,8.686178596405847,8.586178596405846,76.47058823529412,12.963614367580702,5.542299999317305,2.2519174051131983
H1b_MA25<-10%,Large70,20,1100,6.917440420883232,6.817440420883232,70.18181818181817,17.3448173201821,4.189257541880424,1.8295091421569067
H1c_MA25 -10〜-5%,Large70,20,3087,2.089366689896697,1.9893666898966975,58.049886621315196,12.112432703761067,1.7941489452809496,0.736798121877371
H2a_20d下落<-20%,Large70,20,421,7.549604654719144,7.449604654719145,70.07125890736341,10.491781625799032,3.8461343503798675,1.7910284443011133
H2b_20d下落<-10%,Large70,20,2559,3.894493025635095,3.7944930256350955,61.39116842516608,16.546863713989843,2.4589755157509288,1.13127619364359
H3a_20d上昇>+20%,Large70,20,1208,1.7027413736064665,1.602741373606466,54.38741721854304,4.852897033570773,1.3987594367394123,0.46651717974300905
H3b_20d上昇>+10%,Large70,20,5627,2.2333690656953973,2.1333690656953976,56.72649724542384,15.64665167340517,1.7264248118355792,0.7072512543181174
H4a_BB<-1.8σ,Large70,20,550,6.2625538353001,6.162553835300101,71.27272727272728,13.255222898322382,5.147725034614101,1.9742412278177246
H4b_BB<-1.5σ,Large70,20,987,4.921731455786987,4.821731455786987,67.27456940222898,14.735613093648503,4.020753323547164,1.6310978354990526
H5_52週高値×vol≥1.5x,Large70,20,436,2.1919309937374494,2.0919309937374497,57.3394495412844,4.623884623251241,1.7388520150361233,0.7501869302950476
H6_5MA>25MA,Large70,20,1098,0.955792003379904,0.8557920033799042,52.64116575591985,3.3782377467299014,1.2836724416028291,0.3240254661611559
H7a_5d<-8%,Large70,20,1110,5.770060615414201,5.670060615414202,69.009009009009,15.490185029725138,3.5556315251766955,1.6217642206625142
H7b_5d>+10%,Large70,20,1001,1.979670639721086,1.879670639721086,53.14685314685315,5.3252883868647665,1.534760994717904,0.5672835382248499
H8a_vol≥2.0x×陰線,Large70,20,683,3.231528477326087,3.1315284773260865,62.3718887262079,9.82048315875971,2.647511015082836,1.2925761965735942
H8b_vol≥1.5x×陰線,Large70,20,1687,3.0302720284065496,2.9302720284065495,61.29223473621814,13.525023500476859,2.43586530487454,1.1302957174326382
H9a_MA25 -5〜0%,Large70,20,12270,1.3288367994000043,1.2288367994000042,54.360228198859005,18.114569518834372,1.5153813977827018,0.5368013148763909
H9b_MA25 -10〜-5%,Large70,20,3087,2.089366689896697,1.9893666898966975,58.049886621315196,12.112432703761067,1.7941489452809496,0.736798121877371
H10_vol≥2.0x×大陽線,Large70,20,592,2.4014201860538917,2.301420186053892,60.979729729729726,6.41559555335883,1.9792595429627589,0.8969932150154993
H11_52高値-30%超下,Large70,20,2931,2.156736714168928,2.056736714168928,57.62538382804504,10.37715774216643,1.6565581091864676,0.648839604628269
H12_20日高値×vol≥1.5x,Large70,20,1082,2.0504967354275454,1.9504967354275449,58.04066543438078,7.129265159909304,1.7538042601372243,0.731817103939978
H1a_MA25<-15%,Mid400,5,2108,3.1536597832491533,3.0536597832491528,66.65085388994308,19.062781470725987,2.871325146301132,2.854118784305038
H1b_MA25<-10%,Mid400,5,6724,1.795917731603875,1.6959177316038747,61.882807852468765,22.194432309309555,2.0088263757795723,1.814528523545168
H1c_MA25 -10〜-5%,Mid400,5,18819,0.5893733679511611,0.48937336795116115,55.74153780753493,16.431230433410434,1.3286672956397518,0.7060523566651012
H2a_20d下落<-20%,Mid400,5,2290,2.883499246800316,2.783499246800316,65.93886462882097,19.48679289838539,2.8548185873304086,2.790674361598788
H2b_20d下落<-10%,Mid400,5,15973,1.2203474068201499,1.12034740682015,59.0183434545796,27.144697968117846,1.74768200773991,1.3998331266967416
H3a_20d上昇>+20%,Mid400,5,6776,0.25026135076021483,0.15026135076021488,48.583234946871315,2.988045036725056,1.0645787915093234,0.15472810721172955
H3b_20d上昇>+10%,Mid400,5,29295,0.2645411322109923,0.16454113221099237,50.189452124936,8.239550322812699,1.090450751380337,0.2125706502265897
H4a_BB<-1.8σ,Mid400,5,3168,1.7903022550634344,1.6903022550634341,64.14141414141415,16.836755935398592,2.231319914875032,2.0050218527584835
H4b_BB<-1.5σ,Mid400,5,5695,1.2826383501663512,1.1826383501663509,61.15891132572432,17.02498173492978,1.8175883029474027,1.476735773853985
H5_52週高値×vol≥1.5x,Mid400,5,2530,0.22481476686743243,0.12481476686743255,50.790513833992094,2.093905567933512,1.0664453853248455,0.16407908857901532
H6_5MA>25MA,Mid400,5,6173,0.32174985688797036,0.2217498568879704,50.88287704519683,5.948460960649987,1.159547095907271,0.37043902395682543
H7a_5d<-8%,Mid400,5,6591,1.4766052083548522,1.3766052083548523,58.94401456531634,17.395386546102664,1.7252712155789498,1.4181386992449592
H7b_5d>+10%,Mid400,5,5671,0.9996756813115066,0.8996756813115069,54.31140892258861,11.056857141911205,1.4635679411905607,0.9380888998111545
