p1,p2,n,corr,beta,adf_p,coint_p,hurst,spread_mean,spread_std,sector
6594.T,6702.T,304,0.25321016905959953,-0.4248901311416382,0.05721915018895064,0.1618210007603087,0.44257178826574656,1.6834487020763557e-14,0.12246523734654867,電機
6594.T,6758.T,304,0.31664720993830336,-0.13538353154657784,0.12087739361382571,0.2870526375241813,0.43125907121415985,-1.2083901131183282e-14,0.13290103465550882,電機
6501.T,6594.T,304,0.3518576573383634,-0.4430551653516185,0.182973218766752,0.38761676839389214,0.4063562662062183,3.73385533018671e-15,0.12405491543029253,電機
6501.T,6752.T,304,0.4736778933262023,0.4553842126134248,0.21351369409528742,0.4325669732597987,0.40111291014525036,2.937416391995085e-14,0.10270800202408915,電機
6758.T,6702.T,304,0.45971438212465116,0.5249351163544758,0.4451182666597483,0.6863801796422433,0.37339147754171303,7.518255024389251e-14,0.07943604276396111,電機
6503.T,6594.T,304,0.37419314069293513,-1.0674362509868285,0.5385998096845966,0.7608918167135743,0.4517630045390754,5.784846286204763e-15,0.24163200094630252,電機
6501.T,6758.T,304,0.5242714970588097,0.4135751847394147,0.5744388485431664,0.7904627493244415,0.4218322234834345,-2.1661035538344502e-14,0.13064851331671773,電機
6503.T,6752.T,304,0.48827922557895886,1.0840979829162734,0.578799382757416,0.7942816519108988,0.4573483791485736,7.981919219147178e-15,0.1772934837104415,電機
6503.T,6702.T,304,0.4174378466871874,1.5957851590764662,0.7074161163145885,0.8673909659657593,0.44713645852315415,2.2262893283272874e-14,0.1959154158040282,電機
6752.T,6758.T,304,0.45916965158430795,-0.35428393558396254,0.8415735227713358,0.9434540537647964,0.38160192912928015,-1.4164108482586208e-14,0.1972488147840925,電機
6752.T,6702.T,304,0.37266310294853394,0.5433543072775203,0.9584605661137112,0.9856737913579406,0.4471278864234886,-1.4222541273355953e-14,0.18859747439117044,電機
6503.T,6758.T,304,0.46159971384538456,0.5191648150443169,0.9795237009110084,0.991274054172557,0.4467176505019233,2.528971184514567e-14,0.27542070296309806,電機
2801.T,4452.T,304,0.2283209347985903,-0.8447160795286393,0.0019891968230225307,0.009534024053422763,0.3623674347496708,-3.392607832091399e-14,0.057519209155179565,化粧品・食品
2801.T,2914.T,304,0.3006531850016605,0.020370300036756953,0.02517688638190128,0.08386797051587497,0.40206625986478506,-1.0450704629168908e-14,0.06565523869563729,化粧品・食品
2801.T,2802.T,304,0.01216497217448292,-0.16582311971608066,0.030128663083766608,0.09697215900273731,0.39355376142598586,9.582977686238194e-16,0.06082907787254465,化粧品・食品
2914.T,4452.T,304,0.38752198831702844,-0.9051471348912197,0.4403564852595985,0.6864380548943794,0.43399802699780377,-2.7580277243319677e-15,0.14966416123471796,化粧品・食品
2802.T,2914.T,304,0.37716219074027335,0.57858840052675,0.5104343295354054,0.7411463026597365,0.5663677204958903,2.0179764292331465e-14,0.12111086164858759,化粧品・食品
2802.T,4452.T,304,0.36625080206825106,0.8852808460045825,0.841532245518472,0.9425502337496932,0.4657995744473961,-1.0243268221936312e-14,0.14643723200461295,化粧品・食品
