sym,break_dir,persist,hold,N,mean,wr,pf,sharpe,t
5706.T,down,30,30,194,-7.392285252477962,40.20618556701031,0.7188887802777437,-1.8683072714640623,-1.639263989602952
5706.T,up,30,60,202,4.314174261332677,50.495049504950494,1.1534660696401189,0.7934021682584672,0.7103441322295999
5706.T,down,30,60,194,-3.4472597865196075,45.876288659793815,0.8923110444485772,-0.633836512074873,-0.5561319518526866
5706.T,up,30,120,202,8.947534132349507,49.504950495049506,1.2647762245857317,1.272386273424109,1.1391853456113332
5706.T,down,30,120,194,-0.6417321392539531,46.391752577319586,0.9835156458520339,-0.08923862755418993,-0.07829850628185984
5706.T,up,60,30,113,0.6976538838296934,51.32743362831859,1.030442283724393,0.16684371696746922,0.11172459985724446
5706.T,down,60,30,103,-2.8323282142814494,45.63106796116505,0.8914972649719441,-0.6670920079834606,-0.42648531280134944
5706.T,up,60,60,113,7.4849101389933885,51.32743362831859,1.313933432122449,1.5723233087006778,1.0528846737755972
5706.T,down,60,60,103,-0.010065258232989425,50.48543689320388,0.9996610231656121,-0.0019214097808266915,-0.0012283958458332493
5706.T,up,60,120,113,10.724897615414163,52.21238938053098,1.3599218465433178,1.6391457137415943,1.097631378059048
5706.T,down,60,120,103,-1.581050262559866,48.54368932038835,0.957407076745056,-0.23723870898026125,-0.1516714692983454
5713.T,up,20,30,246,-6.440954260492213,46.34146341463415,0.719038324828596,-1.7951624517210234,-1.7736627246277852
5713.T,down,20,30,264,0.163118403434849,43.93939393939394,1.0068044032113677,0.03055054788307827,0.03126948266664943
5713.T,up,20,60,246,-8.00396455967721,45.1219512195122,0.7316886046999072,-1.6144383687583357,-1.5951030800194919
5713.T,down,20,60,264,1.1241751721246678,43.93939393939394,1.037473926989704,0.1788006277793997,0.18300827705387218
5713.T,up,20,120,246,-7.523448111853486,44.71544715447154,0.8128509894656823,-1.0513965421087068,-1.038804512512477
5713.T,down,20,120,264,2.857259042146761,46.96969696969697,1.0809634800725847,0.3990316377015986,0.40842190216385876
5713.T,up,30,30,185,-2.7489301562411166,45.94594594594595,0.8543055967602684,-0.8845901706354323,-0.7579275666044989
5713.T,down,30,30,184,-2.9477922766573106,42.934782608695656,0.880147944378133,-0.5582089455251862,-0.4769857812223007
5713.T,up,30,60,185,-1.0983855100791848,47.02702702702703,0.955866882291785,-0.24313673598493615,-0.2083224986830323
5713.T,down,30,60,184,-0.0820354220528512,44.02173913043478,0.9970753348765552,-0.013541295623419963,-0.011570945832160017
5713.T,up,30,120,185,0.4764414328092824,45.94594594594595,1.0132663423919706,0.0664790048833429,0.0569600161454727
5713.T,down,30,120,184,-3.1338035782851583,44.565217391304344,0.912754128196879,-0.4694181802076361,-0.4011146707719456
5713.T,up,60,30,105,-5.595706575492509,40.95238095238095,0.7119964048565861,-1.8405854450408834,-1.1880927959858512
5713.T,down,60,30,93,-3.8398354956945515,41.935483870967744,0.8624738758663205,-0.5845979802507371,-0.35513912019011706
5713.T,up,60,60,105,-1.0745528862383107,45.714285714285715,0.951576442027256,-0.2725309444436648,-0.17591796819274877
5713.T,down,60,60,93,0.6053696435850463,38.70967741935484,1.0195652294701303,0.08228828206978578,0.049989546805628164
